CO2(g/s),Velocity(km/h),Acceleration(m/s2),EngineLoad(%),EngineRPM(rpm),ThrottlePosition(Manifold)(%),TurboBoost&VacuumGauge(psi), Altitude(m)
1.299917648,15.58031559,0.902230211,56.07843399,1626.75,21.56862831,-4.11224461,240.4827151
0.715740003,18.82834435,0.969834856,61.56863022,1852.5,23.92156982,-3.96720695,240.2245708
1.547230295,22.31974983,0.575582717,60.39215851,2071,24.31372643,-4.40232086,239.8319054
1.640235936,24.39184761,0.369720458,59.2156868,2231.75,23.92156982,-4.83743382,240.060045
1.611869177,25.72284126,0.525534947,51.37255096,2345.5,23.52941132,-5.99773598,240.3788987
2.088242626,27.61476707,-0.122965175,24.70588303,2442.5,21.17647171,-7.88322592,240.7344803
2.370710461,27.17209244,-0.265128878,12.15686321,2334,15.29411793,-11.79924488,240.8899661
2.479565617,26.21762848,-0.467838711,10.1960783,2024.25,12.15686321,-11.94428253,240.8850843
0.918595606,24.53340912,-1.216972669,11.37254906,1107.25,14.50980377,-7.73818827,240.8199848
0.750147705,20.15230751,-1.231202283,22.74509811,979.25,13.72549057,-9.33360291,240.6781633
0.63523906,15.71997929,-1.598367958,31.37254906,880.25,13.72549057,-9.47864151,239.9804677
0.17977902,9.96585464,-2.080376544,28.62745094,913.5,13.72549057,-9.62367916,240.1662511
0.446526312,2.47649908,0.405200653,81.17647552,1372.5,23.52941132,-4.11224461,241.0491121
0.337141367,3.93522143,2.254961664,64.31372833,1922,22.74509811,-2.9519434,240.677142
0.848821022,12.05308342,0.504567622,10.1960783,2433,12.94117641,-9.76871681,240.9957619
1.97257859,13.86952686,0.602898333,37.64706039,1498.25,20.7843132,-8.31833935,240.6033524
2.190468005,16.03996086,1.196450658,61.96078491,1529.5,29.01960754,-0.63133907,238.6635942
0.042921001,20.34718323,2.150589094,96.86274719,2421.5,46.27450943,-1.06645203,238.0128728
1.452163375,28.08930397,1.077640322,12.15686321,2640.5,23.92156982,-10.92901802,237.2103218
2.454396181,31.96880913,-0.16717805,41.96078491,1698.75,20.3921566,-10.20382977,236.8380252
3.769402007,31.36696815,0.919637153,52.94117737,1790,19.6078434,-5.41758442,237.3560573
0,34.6776619,0.525277456,25.88235283,1878.75,15.68627453,-7.01299953,236.9256125
1.397725494,36.56866074,-0.309673947,18.4313736,1922.25,14.50980377,-11.21909428,236.4811235
1.380612095,35.45383453,0.053291322,7.45098066,1940,14.50980377,-12.23435783,236.1643036
0.081835107,35.64568329,-0.153907142,19.2156868,1920.5,13.72549057,-11.79924488,236.2522473
0,35.09161758,0.065486697,19.6078434,1926.5,12.15686321,-11.07405663,236.1767327
0.41903384,35.32736969,-0.011377333,0,1909.5,13.72549057,-12.23435783,236.2741961
0.057860825,35.28641129,-0.966907078,0,1806.25,12.54901981,-11.79924488,236.4593658
